senal,codec,bitrate,br_real,LSD,STOI,PESQ
music_tonal,AAC,128,130.1,0.5306409,,
music_tonal,AAC,24,26.4,2.8202026,,
music_tonal,AAC,64,66.4,1.1245284,,
music_tonal,Opus,128,118.0,0.6932843,,
music_tonal,Opus,24,22.5,2.6035671,,
music_tonal,Opus,64,60.1,1.4107363,,
transitorios,AAC,128,126.7,0.90002775,,
transitorios,AAC,24,25.4,4.887012,,
transitorios,AAC,64,66.6,1.9102783,,
transitorios,Opus,128,131.5,0.70424813,,
transitorios,Opus,24,26.4,3.1263235,,
transitorios,Opus,64,65.6,1.5679166,,
voz,AAC,128,133.5,0.74247766,0.9993328979548556,4.488665580749512
voz,AAC,24,24.6,3.3787358,0.9546991097536949,3.064952850341797
voz,AAC,64,67.6,1.5818975,0.997007439749356,4.389906406402588
voz,Opus,128,162.9,0.42968398,0.9997809759705002,4.615237236022949
voz,Opus,24,24.5,2.3767772,0.9944098509693781,4.390464782714844
voz,Opus,64,81.8,1.0246512,0.9988264173184003,4.542413234710693
